order,var_output,var,cat,inferior,superior,estimate,std_error,z,p
15,zero_biomaPantanal,Pantanal,biological,-1.4305901425,3.765625638,1.1675177,1.3255896,881,0.378451
14,zero_biomaPampa,Pampas,biological,-0.5377761063,2.753272955,1.1077484,0.8395688,1319,0.187027
13,zero_biomaMata Atlantica,Atlantic Forest,biological,0.1663005816,1.901127091,1.0337138,0.4425659,2336,0.019505 *
12,zero_biomaMarinho,Marine,biological,0.9234684931,3.015725845,1.9695972,0.5337489,3690,0.000224 ***
11,zero_biomaCerrado,Cerrado,biological,-0.1316562894,1.645272442,0.7568081,0.4533065,1670,0.095013 .
10,zero_biomaAmazonia,Amazonia,biological,0.4344437272,2.332550812,1.3834973,0.4842199,2857,0.004274 **
9,zero_bir_div,Bird Diversity,biological,-0.0016044475,0.003593038,0.0009943,0.0013259,750,0.453318
8,zero_groupUS,Sustainable Use,governance,-3.8119943361,-2.809110695,-3.3105525,0.2558424,12940, < 2e-16 ***
7,zero_governmunicipal,Municipal Government,governance,-7.3853952851,-4.301130798,-5.843263,0.7868166,7426, < 2e-16 ***
6,zero_governestadual,State Government,governance,-3.3356140241,-2.350827369,-2.8432207,0.2512257,11317, < 2e-16 ***
5,zero_year_mod,Year of Establishment,governance,0.1708613941,0.486114322,0.3284879,0.0804231,4084,4.42e-05 ***
4,zero_pop_50k_mod,Population (50 Km),geographical,0.1538506947,0.643061848,0.3984563,0.1248011,3193,0.001409 **
3,zero_acc_50k_mod,Accessibility (50 Km),geographical,-0.1867951281,0.290525221,0.051865,0.1217676,426,0.670156
2,zero_alt_r_mod,Altitudinal Range,geographical,-0.3221617089,0.167920091,-0.0771208,0.1250232,617,0.537332
1,zero_area_km2_mod,Area (KmÂ²),geographical,0.6188258766,1.088186899,0.8535064,0.1197372,7128, < 2e-16 ***
